Device: cuda
GPU: NVIDIA GeForce RTX 4070
PlayNet: 569,509 params | DeclNet: 118,785 params

================================================================================
Training: 2000 epochs × 2048 games = ~4,096,000 games
PPO: lr=0.0003 ent=0.02 epochs=6 bs=1024
================================================================================
E 127 | dev=19.4 med=16 perf=1.4% | pl=+0.0044 vl=52.21 ent=0.60 kl=0.0099 | dmae=19.4 | 198g/s 10.3s
E 128 | dev=19.5 med=16 perf=1.9% | pl=+0.0049 vl=51.72 ent=0.60 kl=0.0094 | dmae=19.5 | 189g/s 10.8s
E 129 | dev=19.6 med=16 perf=1.4% | pl=+0.0053 vl=52.93 ent=0.61 kl=0.0094 | dmae=19.6 | 194g/s 10.6s
E 130 | dev=19.5 med=16 perf=1.6% | pl=+0.0051 vl=50.63 ent=0.60 kl=0.0101 | dmae=19.5 | 200g/s 10.2s
E 131 | dev=19.3 med=16 perf=1.8% | pl=+0.0059 vl=51.05 ent=0.60 kl=0.0092 | dmae=19.3 | 198g/s 10.3s
E 132 | dev=19.1 med=16 perf=1.6% | pl=+0.0055 vl=51.44 ent=0.60 kl=0.0105 | dmae=19.2 | 192g/s 10.7s
E 133 | dev=18.9 med=16 perf=1.9% | pl=+0.0055 vl=50.98 ent=0.60 kl=0.0113 | dmae=18.9 | 198g/s 10.4s
E 134 | dev=19.4 med=16 perf=1.5% | pl=+0.0057 vl=52.05 ent=0.60 kl=0.0112 | dmae=19.4 | 193g/s 10.6s
E 135 | dev=19.5 med=16 perf=1.6% | pl=+0.0065 vl=51.36 ent=0.61 kl=0.0123 | dmae=19.5 | 196g/s 10.5s
E 136 | dev=19.1 med=16 perf=1.7% | pl=+0.0063 vl=49.99 ent=0.61 kl=0.0111 | dmae=19.1 | 190g/s 10.8s
E 137 | dev=19.5 med=16 perf=1.7% | pl=+0.0056 vl=53.02 ent=0.60 kl=0.0097 | dmae=19.5 | 189g/s 10.8s
E 138 | dev=19.0 med=16 perf=1.8% | pl=+0.0055 vl=51.35 ent=0.61 kl=0.0107 | dmae=19.0 | 195g/s 10.5s
E 139 | dev=19.6 med=16 perf=1.7% | pl=+0.0062 vl=51.52 ent=0.61 kl=0.0117 | dmae=19.6 | 194g/s 10.6s
E 140 | dev=19.8 med=17 perf=1.5% | pl=+0.0055 vl=51.89 ent=0.61 kl=0.0109 | dmae=19.8 | 192g/s 10.7s
E 141 | dev=19.3 med=16 perf=1.8% | pl=+0.0068 vl=53.66 ent=0.61 kl=0.0125 | dmae=19.3 | 196g/s 10.4s
E 142 | dev=19.1 med=16 perf=1.7% | pl=+0.0057 vl=51.27 ent=0.60 kl=0.0106 | dmae=19.1 | 193g/s 10.6s
E 143 | dev=19.3 med=16 perf=1.6% | pl=+0.0049 vl=49.78 ent=0.61 kl=0.0101 | dmae=19.3 | 198g/s 10.3s
E 144 | dev=19.6 med=16 perf=1.6% | pl=+0.0060 vl=52.66 ent=0.61 kl=0.0118 | dmae=19.6 | 192g/s 10.7s
E 145 | dev=19.2 med=16 perf=1.7% | pl=+0.0060 vl=50.50 ent=0.61 kl=0.0112 | dmae=19.2 | 196g/s 10.5s
E 146 | dev=19.1 med=16 perf=1.7% | pl=+0.0054 vl=50.80 ent=0.60 kl=0.0116 | dmae=19.1 | 195g/s 10.5s
E 147 | dev=19.0 med=16 perf=1.7% | pl=+0.0062 vl=52.33 ent=0.60 kl=0.0112 | dmae=19.0 | 198g/s 10.3s
E 148 | dev=19.5 med=16 perf=1.8% | pl=+0.0058 vl=53.75 ent=0.60 kl=0.0115 | dmae=19.5 | 194g/s 10.6s
E 149 | dev=19.5 med=16 perf=1.7% | pl=+0.0085 vl=53.36 ent=0.59 kl=0.0131 | dmae=19.5 | 195g/s 10.5s
E 150 | dev=19.2 med=16 perf=1.8% | pl=+0.0073 vl=52.23 ent=0.60 kl=0.0121 | dmae=19.2 | 193g/s 10.6s
E 151 | dev=19.1 med=16 perf=1.6% | pl=+0.0056 vl=51.47 ent=0.59 kl=0.0120 | dmae=19.1 | 197g/s 10.4s
E 152 | dev=19.1 med=16 perf=1.9% | pl=+0.0059 vl=52.17 ent=0.59 kl=0.0119 | dmae=19.1 | 196g/s 10.5s
E 153 | dev=19.5 med=16 perf=1.6% | pl=+0.0056 vl=52.71 ent=0.59 kl=0.0121 | dmae=19.5 | 194g/s 10.5s
E 154 | dev=19.1 med=16 perf=1.7% | pl=+0.0057 vl=52.84 ent=0.60 kl=0.0124 | dmae=19.1 | 195g/s 10.5s
E 155 | dev=18.9 med=15 perf=1.7% | pl=+0.0069 vl=51.24 ent=0.60 kl=0.0126 | dmae=18.9 | 195g/s 10.5s
E 156 | dev=18.9 med=15 perf=1.7% | pl=+0.0065 vl=49.76 ent=0.59 kl=0.0117 | dmae=18.9 | 197g/s 10.4s
E 157 | dev=18.9 med=16 perf=1.6% | pl=+0.0065 vl=51.66 ent=0.59 kl=0.0111 | dmae=18.9 | 199g/s 10.3s
E 158 | dev=19.2 med=16 perf=1.6% | pl=+0.0055 vl=53.01 ent=0.59 kl=0.0126 | dmae=19.3 | 196g/s 10.5s
E 159 | dev=18.9 med=15 perf=1.5% | pl=+0.0073 vl=51.21 ent=0.58 kl=0.0129 | dmae=18.9 | 200g/s 10.2s
E 160 | dev=18.8 med=16 perf=1.7% | pl=+0.0067 vl=50.70 ent=0.58 kl=0.0136 | dmae=18.9 | 195g/s 10.5s
E 161 | dev=19.1 med=16 perf=2.0% | pl=+0.0064 vl=50.91 ent=0.59 kl=0.0121 | dmae=19.1 | 201g/s 10.2s
E 162 | dev=19.1 med=16 perf=1.6% | pl=+0.0072 vl=50.90 ent=0.59 kl=0.0140 | dmae=19.1 | 199g/s 10.3s
E 163 | dev=18.9 med=16 perf=1.7% | pl=+0.0075 vl=50.47 ent=0.58 kl=0.0124 | dmae=18.9 | 199g/s 10.3s
E 164 | dev=18.8 med=15 perf=1.7% | pl=+0.0075 vl=50.82 ent=0.59 kl=0.0131 | dmae=18.8 | 201g/s 10.2s
E 165 | dev=19.1 med=16 perf=1.8% | pl=+0.0062 vl=51.99 ent=0.58 kl=0.0119 | dmae=19.1 | 199g/s 10.3s
E 166 | dev=18.6 med=15 perf=1.8% | pl=+0.0072 vl=50.70 ent=0.59 kl=0.0115 | dmae=18.6 | 200g/s 10.2s
E 167 | dev=19.0 med=16 perf=1.7% | pl=+0.0075 vl=50.08 ent=0.58 kl=0.0121 | dmae=19.0 | 196g/s 10.5s
E 168 | dev=19.1 med=16 perf=1.7% | pl=+0.0077 vl=51.19 ent=0.58 kl=0.0130 | dmae=19.1 | 194g/s 10.6s
E 169 | dev=18.7 med=15 perf=1.6% | pl=+0.0066 vl=48.84 ent=0.58 kl=0.0115 | dmae=18.7 | 200g/s 10.2s
E 170 | dev=18.8 med=16 perf=1.8% | pl=+0.0056 vl=50.33 ent=0.59 kl=0.0110 | dmae=18.8 | 199g/s 10.3s
E 171 | dev=18.9 med=16 perf=1.7% | pl=+0.0063 vl=50.97 ent=0.59 kl=0.0136 | dmae=18.9 | 202g/s 10.1s
E 172 | dev=18.7 med=16 perf=2.0% | pl=+0.0070 vl=49.36 ent=0.59 kl=0.0121 | dmae=18.7 | 198g/s 10.3s
E 173 | dev=18.7 med=15 perf=1.6% | pl=+0.0067 vl=51.13 ent=0.59 kl=0.0142 | dmae=18.7 | 186g/s 11.0s
E 174 | dev=18.9 med=16 perf=1.6% | pl=+0.0066 vl=50.60 ent=0.59 kl=0.0138 | dmae=18.9 | 202g/s 10.1s
